id,Missing information,Numerical extraction errors,Entity extraction errors,Redundant facts
qtsum_dev_1,1,1,0,0
qtsum_dev_2,1,1,0,1
qtsum_dev_3,1,0,1,1
qtsum_dev_4,1,1,1,0
qtsum_dev_5,1,1,1,1
qtsum_dev_6,1,0,0,0
qtsum_dev_7,1,0,1,0
qtsum_dev_8,1,1,0,0
qtsum_dev_9,1,0,1,0
qtsum_dev_10,1,1,1,1
qtsum_dev_11,0,1,0,0
qtsum_dev_12,1,1,0,0
qtsum_dev_13,1,0,1,0
qtsum_dev_14,1,1,0,0
qtsum_dev_15,1,0,1,0
qtsum_dev_16,1,1,0,0
qtsum_dev_17,1,1,0,1
qtsum_dev_18,1,0,1,0
qtsum_dev_19,1,0,1,0
qtsum_dev_20,1,0,0,0
qtsum_dev_21,1,0,1,0
qtsum_dev_22,1,0,0,0
qtsum_dev_23,1,1,1,1
qtsum_dev_24,1,0,0,0
qtsum_dev_25,1,0,0,0
qtsum_dev_26,1,0,1,0
qtsum_dev_27,1,0,0,0
qtsum_dev_28,1,0,1,0
qtsum_dev_29,1,0,0,0
qtsum_dev_30,1,0,0,0
qtsum_dev_31,0,0,0,0
qtsum_dev_32,1,1,0,1
qtsum_dev_33,1,1,1,0
qtsum_dev_34,1,0,0,0
qtsum_dev_35,1,1,1,1
qtsum_dev_36,1,1,0,0
qtsum_dev_37,0,0,0,0
qtsum_dev_38,1,0,0,0
qtsum_dev_39,1,1,1,1
qtsum_dev_40,1,1,1,0
qtsum_dev_41,0,0,0,0
qtsum_dev_42,1,1,1,0
qtsum_dev_43,0,0,0,0
qtsum_dev_44,1,0,0,0
qtsum_dev_45,0,0,0,0
qtsum_dev_46,1,1,0,0
qtsum_dev_47,0,0,0,0
qtsum_dev_48,1,1,0,0
qtsum_dev_49,1,1,1,0
qtsum_dev_50,1,0,0,0
