id,table,predict,truth,Missing information,Numerical extraction errors,Entity extraction errors,Redundant facts
qtsum_dev_1,"Texas Vs Overall Record  Austin Opponent 'S Venue Neutral Site Last 5 Meetings Last 10 Meetings Current Streak
 0  Baylor  Ut , 57 - 23 Ut , 27 - 5 Ut , 22 - 13  Ut , 7 - 2 Bu , 3 - 2  Tied , 5 - 5 L 2
 1  Colorado Ut , 14 - 4  Ut , 6 - 1 Ut , 6 - 2  Ut , 2 - 1 Ut , 4 - 1  Ut , 8 - 2 W 1
 2  Iowa State  Isu , 10 - 9  Ut , 6 - 2  Isu , 5 - 2 Isu , 3 - 1  Isu , 3 - 2  Tied , 5 - 5 L 2
 3  Kansas Ut , 11 - 7  Ut , 4 - 3 Tied , 4 - 4  Ut , 3 - 0 Ut , 3 - 2  Ut , 7 - 3 W 1
 4  Kansas State Ut , 10 - 8  Ut , 6 - 2  Ksu , 4 - 3 Ksu , 2 - 1 Ut , 3 - 2 Ksu , 6 - 4 L 1
 5  Missouri Ut , 15 - 1  Ut , 9 - 0 Ut , 5 - 1  Ut , 1 - 0 Ut , 5 - 0  Ut , 9 - 1 W 8
 6  Nebraska Ut , 12 - 5  Ut , 6 - 1 Ut , 4 - 3  Ut , 2 - 1 Ut , 3 - 2  Ut , 8 - 2 L 2
 7  Oklahoma  Ut , 21 - 13 Ut , 11 - 4 Tied , 7 - 7  Ut , 3 - 2 Ou , 3 - 2  Tied , 5 - 5 W 1
 8  Oklahoma State Ut , 21 - 7 Ut , 11 - 2 Ut , 7 - 4  Ut , 2 - 1  Osu , 3 - 2  Ut , 7 - 3 L 2
 9 Texas A&M  Ut , 58 - 15 Ut , 28 - 4  Ut , 23 - 8  Ut , 7 - 3  A&M , 4 - 1  Tied , 5 - 5 L 3
 10 Texas Tech  Ut , 55 - 24 Ut , 25 - 6 Ut , 17 - 13 Ut , 13 - 4  Ttu , 3 - 2 Ttu , 6 - 4 W 2","The Texas Longhorns Women’s Basketball team has an overall record of 58-15 and an overall record of 28-4. They are tied with Texas A&M at 7-3 in the last 5 meetings and the current streak is 3 losses. Texas A&M has an overall record of 4-1.","The Texas Longhorns Women's Basketball team has a dominant 58-15 all-time record against the Texas A&M Aggies. When playing in Austin, the Longhorns have won every matchup with a record of 28-4. Additionally, they are 23-8 at A&M's venue and 7-3 on neutral sites for a combined record of 58 wins and 15 losses. In their last five meetings against Texas A&M, the Longhorns have held an advantage with a 4-1 record and in their last ten they are tied 5-5. Currently, the Longhorns are on a three game losing streak to the Aggies.",1,1,0,0
qtsum_dev_2,"Game Date  Score Location Time Attendance
 0 1  October 9 Los Angeles Dodgers – 2, Philadelphia Phillies – 3 Citizens Bank Park 2:36  45,839
 1 2 October 10 Los Angeles Dodgers – 5, Philadelphia Phillies – 8 Citizens Bank Park 3:33  45,883
 2 3 October 12 Philadelphia Phillies – 2, Los Angeles Dodgers – 7 Dodger Stadium 2:57  56,800
 3 4 October 13 Philadelphia Phillies – 7, Los Angeles Dodgers – 5 Dodger Stadium 3:44  56,800
 4 5 October 15 Philadelphia Phillies – 5, Los Angeles Dodgers – 1 Dodger Stadium 3:14  56,800","The data given shows that the attendance of spectators in the three games at Citizens Bank Park was much lower than that in Dodger Stadium. In the first game, the Dodgers won over the Phillies by a score of 5-2 in just 2 hours and 37 minutes. However, in the second game, the Dodgers claimed a victory with a score of 7-2 in only 2 hours and 57 minutes. The difference in attendance between the two stadiums is of 4,800 fans, with 56,800 people in Citizens Bank Park and 56,800 in Dodger Stadium.","The number of people watching was different between Citizens Bank Park in Philadelphia and Dodger Stadium in Los Angeles. Dodger Stadium always had more people in all three games played there, with 56,800 people each time. In compare, Citizens Bank Park in Philadelphia had a bit less people with 45,839 people in the first game and 45,883 in the second game.",1,1,1,1
qtsum_dev_3,"City County Population Date chartered as city Date consolidated with town
 0 Ansonia  New Haven  18,531  1893 1893
 1  Bridgeport  Fairfield 144,229  1836 1889
 2 Bristol Hartford  61,353  1911 1911
 3 Danbury  Fairfield  80,893  1889 1965
 4 Derby  New Haven  12,903  1893 1893
 5  Groton New London  10,010  1964 Not consolidated
 6  Hartford Hartford 124,775  1784 1896
 7 Meriden  New Haven  59,653  1867 1922
 8  Middletown  Middlesex  47,481  1784 1924
 9 Milford  New Haven  52,759  1959 1959
 10  New Britain Hartford  71,254  1870 1906
 11  New Haven  New Haven 129,779  1784 1897
 12 New London New London  27,620  1784 1874
 13  Norwalk  Fairfield  85,603  1893 1913
 14  Norwich New London  40,493  1784 1952
 15  Shelton  Fairfield  39,559  1915 1915
 16 Stamford  Fairfield 122,643  1893 1949
 17 Torrington Litchfield  36,383  1923 1923
 18  Waterbury  New Haven 110,366  1853 1902
 19 West Haven  New Haven  52,721  1961 1961
 20 Winsted Administered by the town of Winchester Litchfield 7,321  1917 1915","The city in New London County that is not listed in the table is Derby, which has a population of 12,903, and New London, which is a city with a population of 10,010. Derby is the largest city in the county, with a population of 12,903, followed by New London, which has a population of 10,010.","In New London County, Connecticut, have three city: Groton, New London and Norwich. Groton have population of 10,010, New London have a population of 27,620 and Norwich have more big population of 40,493. These city not join with their town, and population show big difference between these three city in the county.",1,1,1,1
qtsum_dev_4,"Nation Gold Silver Bronze Total
 0  Brazil 2 0 1  3
 1 United States 1 2 2  5
 2 Venezuela 1 0 1  2
 3  Mexico 0 1 0  1
 4 Chile 0 1 0  1
 5 Argentina 0 0 3  3
 6  Canada 0 0 1  1","Three nations won bronze medal in tennis at the 1999 Pan American Games. These nations were Brazil, Venezuela,Mexico, Chile and Canada. Brazil won 2 gold medals, 1 silver medal and 3 bronze medals. The United States also won 2 gold medals, 2 silver medals and 2 bronze medals. Venezuela won 1 gold medal and 1 bronze medal, Mexico won 1 silver medal and 1 bronze medal, Chile won 1 silver medal and 1 bronze medal, and Canada won 1 silver medal and 1 bronze medal.","At the 1999 Pan American Games, five nations won bronze medals in Tennis, with varying amounts. Brazil, Venezuela, Canada each won one bronze medal, and the United States won two, while Argentina won three.",1,1,1,1
qtsum_dev_5,"Island Main Town or Capital  Other Towns Area (km²) Population
 0  Vanua Levu Group  Labasa  Savusavu, Bua  6261  138000
 1  Buca Bay Islands  0.042 0
 2 Cikobia-i-Lau  12.46 1
 3 Dogodogo Island 0.19 0
 4  East Macuata Coast Islands 7.65 1
 5  Kia Island 1.69 1
 6  Kioa Salia Lomanikoro, Matagi, Naba, Naumu, Niu Degree, Nukusa, Silver Bay, Fiji, Tafatai Lasi, Taite, Temotu, Vunikura 19.32 400
 7 Korolevu Island  1 0
 8 Laucala Laucala  12.4 300
 9  Mali Islands  9.255 1
 10  Matagi Island 0.97 1
 11  Namena Lala  0.455 1
 12 Navidamu Islands  32.72 1
 13 Nukubati Islands  Nukubati 0.623  10
 14  Other  0.271  1031
 15  Qamea  Kocoma Dreketi, Nadiodio, Naiviivi, Togo, Vatusogosogo, Waibulu  34.5  2182
 16  Rabi Island Tabwewa Buakonikai, Tabiang, Uma  67.3  5000
 17 Ringgold Isles Qelelevu (Nalutu) , Nanuku, Nukubalati, Yanuca  6.12  50
 18  Taveuni Waiyevo Bouma, Deleni, Gacaavulu, Kanacea, Korovou, Lavena, Matei, Naqara, Naselesele, Navakawau, Salialevu, Somosomo, Soqulu, Vuna, Wairiki, Welagi 434.5  9000
 19 Vanua Levu  Labasa Bua, Nabiti, Nadivakarua, Nailou, Sasa, Savusavu, Solevu, Wainigadru  5587.1  120000
 20  Viani Coast Islands 0.78 6
 21  Viubani Islands  0.284 2
 22 Vorovoro 0.43 1
 23 West Macuata Coast Islands Macuata-i-Wai Cukini, Nagano, Nukunuku, Talailau 15.93  10
 24  Yadua  14.31 1
 25 Yadua Tabu  0.7 0","The table show there have 120000 islands in Vanua Levu group of Fiji no have any people. The bigest area in these no human population islands is Vanua Levu which have 5587.1 km².","In Vanua Levu Group of Fiji, have 4 islands with no people live. Among these no people islands, the biggest one in area size is Korolevu Island, it have 1 km².",1,1,1,1
qtsum_dev_6,"Part Number First public release date (First edition) Latest correction Title Description
 0 Part 1  ISO/IEC 11172-1 1993 1999 Systems  
 1 Part 2  ISO/IEC 11172-2 1993 2006 Video  
 2 Part 3  ISO/IEC 11172-3 1993 1996 Audio  
 3 Part 4  ISO/IEC 11172-4 1995 2007  Compliance testing  
 4 Part 5 ISO/IEC TR 11172-5 1998 2007 Software simulation","We analyzed the Mpeg-1 dataset without translation, keeping only the version available in English. We think the biggest difference between these datasets is in the nature of description. The first part of the dataset all introduces systems, and not so much the latest version. In the second part, we have shown the use of video and audio features. However, the content of the third part focuses on audio, rather than video. The last part of the dataset focuses on compliance testing, with the subtitle model being called compliance simulation. This is probably related with the fact that it is the only one dataset that has been tested in such a way.","The five part of MPEG-1 have different description and focus area. Part 1, ISO/IEC 11172-1, is about system, but Part 2, ISO/IEC 11172-2, is relate to video of standard. Different, Part 3, ISO/IEC 11172-3, mainly talk about audio part. Last, Part 4, ISO/IEC 11172-4, is deal with compliance test, and Part 5, ISO/IEC TR 11172-5, is focus on software simulation.",0,0,0,1
qtsum_dev_7,"Rank  Name  Height ft / m Image Floors Year Notes
 0  1 Indiana Michigan Power Center 442 feet (135 m) -  27 1982  Tallest building in Fort Wayne since 1982, fourth-tallest building in Indiana, and tallest outside of Indianapolis. Formerly known as One Summit Square.
 1  2  PNC Center 339 feet (103 m)  National City Center.JPG  26 1970 Tallest building in Fort Wayne from 1970–1982, currently the 11th tallest building in the state of Indiana. Formerly known as Fort Wayne National Bank Building and National City Center.
 2  3  Lincoln Bank Tower  312 feet (95 m) -  22 1930 Tallest building in Fort Wayne from 1930–1970 and tallest building in Indiana from 1930–1962. Market headquarters for Old National Bank and predecessor Tower Bank.
 3  4 Allen County Courthouse  238 feet (73 m) - 3 1902 Listed to the National Register of Historic Places in 1976, later recognized as a National Historic Landmark in 2003.
 4  5 First Presbyterian Church  220 feet (67 m) - 3 1950 
 5  6  Saint Paul's Evangelical Lutheran Church  214 feet (65 m) - 2 1889 Listed to the National Register of Historic Places in 1982.
 6  7 St. Peter's Catholic Church  211 feet (64 m) - 2 1892 Listed to the National Register of Historic Places in 1991.
 7  8  Zion Evangelical Lutheran Church  210 feet (64 m) - 2 1891 
 8  9  Cathedral of the Immaculate Conception  192 feet (59 m) - 2 1860  Oldest standing religious structure in the city, listed to the National Register of Historic Places in 1980.
 9 10 Trinity English Lutheran Church  179 feet (55 m) - 2 1923 
 10  11 STAR Building  172 feet (52 m) -  13 1923  Headquarters of STAR Financial Group. Also known as the Commerce Building from 1970-1999 and the Fort Wayne National Bank Building from 1923-1970.
 11  12 First Federal Bank Center at the Anthony Wayne Building  167 feet (51 m) Anthony Wayne Building, Fort Wayne, Indiana.JPG  15 1964  Mixed-use building that is home to market headquarters for First Federal Bank of the Midwest, condominiums, regional offices for U.S. Senator Mike Braun, and The Hoppy Gnome/Gnometown Brewing brewpub.
 12  13 Skyline Terrace  164 feet (50 m) 12 2018 Second-tallest mixed use condominium/office building in Fort Wayne. First floor is occupied by Ruth's Chris Steak House; second floor is market headquarters for First Merchants Bank (predecessor bank iAB Financial Bank never had a downtown Fort Wayne presence).","The table show the tallest building in Fort Wayne is Indiana Michigan Power Center standing at 442 feet (135 meters) and also the shortest building is Trinity English Lutheran Church at 179 feet (55 meters). Other interesting building in Fort Wayne is PNC Center, it is 339 feet (103 meters) tall, and Lincoln Bank Tower, it is 312 feet (95 meters).","According to the table, the tallest building in Fort Wayne is the Indiana Michigan Power Center, standing at a height of 442 feet (135 meters). On the other hand, the shortest building is Skyline Terrace, with a height of 164 feet (50 meters). Both buildings represent the extremes of architectural elevation within the city.",1,1,0,0
qtsum_dev_8,"Date Pos  Player  From Club Transfer Fee
 0  Sep 2008 Fw Marcello Trotta Napoli  750000
 1 12 Oct 2008 Df Oliver Nicholas  Arsenal  Free
 2 20 Oct 2008 Mf  Alex Pla  Ud Cornellà  Undisc
 3 20 Oct 2008 Mf Jorge Guinovart  Ud Cornellà  Undisc
 4 17 Feb 2009 Df  Jérémy Helan Rennes  Undisc
 5 25 Feb 2009 Gk  Gunnar Nielsen Blackburn Rovers  Free","The table only contains information from the 2008-09 season, that is when Manchester City F.C. signed Alex Pla from UD Cornellà for no fee, and Jorge Guinovart from UD Cornellà for no fee.","Manchester City F.C. signed two players from Ud Cornellà in the 2008-09 season: Alex Pla and Jorge Guinovart. Both transfers were announced on the same day, October 20th 2008, and neither player was a subject to a disclosed transfer fee. Both Alex Pla and Jorge Guinovart play in the Mf position.",0,0,1,1
qtsum_dev_9,"Game  Date  Opponent Result Hurricanes Points Opponents  Record
 0 1 Sept 17  Colorado Win 24  3 1 - 0 - 0
 1 2 Sept 24 Florida State  Loss 20 23 1 - 1 - 0
 2 3 Oct 1 Louisiana State  Loss  8 10 1 - 2 - 0
 3 4  Oct 14 Georgia Win  7  6 2 - 2 - 0
 4 5  Oct 21 Indiana Win 14  7 3 - 2 - 0
 5 6  Oct 28 Southern California Win 10  7 4 - 2 - 0
 6 7 Nov 5  Tulane Tie 10 10 4 - 2 - 1
 7 8  Nov 11  Pittsburgh Win 38 14 5 - 2 - 1
 8 9  Nov 18  Iowa Win 44  0 6 - 2 - 1","The information from the table shows that the 1966 Miami Hurricanes Football Team played against the Southern California twice during the season. The first game was on October 28 and resulted in a win for the Hurricanes with a score of 10 to 7. The second game was on November 11 and the Hurricanes won again by a score of 38 to 14.","The game between the 1966 Miami Hurricanes Football Team and the Southern California was an intense one. On October 28，the Hurricanes were able to come away with a 10-7 win, their fourth of the season, thanks to a strong defensive effort.",1,0,1,1
qtsum_dev_10,"Artist Single Released Sales (in millions) Source
 0  Robin Thicke featuring T.I. and Pharrell  ""Blurred Lines""  2013 14.8  
 1 Lady Gaga ""Poker Face""  2008 14 [unreliable source?]
 2 Maroon 5 featuring Christina Aguilera  ""Moves like Jagger""  2011 13.9 [unreliable source?]
 3 Pharrell Williams  ""Happy""  2013 13.9  
 4 Psy  ""Gangnam Style""  2012 13.5  
 5  Maroon 5  ""Sugar""  2015 13.5  
 6  Macklemore and Ryan Lewis featuring Wanz  ""Thrift Shop""  2012 13.4  
 7  Katy Perry featuring Juicy J ""Dark Horse""  2013 13.2  
 8 Major Lazer & DJ Snake featuring MØ  ""Lean On""  2015 13.1  
 9  Gotye featuring Kimbra ""Somebody That I Used to Know""  2011 13  
 10 Eminem featuring Rihanna ""Love the Way You Lie""  2010 12.8 [unreliable source?]
 11 Ellie Goulding  ""Love Me like You Do""  2015 12.6  
 12  Drake featuring Wizkid and Kyla  ""One Dance""  2016 12.5  
 13 Bruno Mars ""Just the Way You Are""  2010 12.5  
 14  Adele  ""Hello""  2015 12.3  
 15  John Legend  ""All of Me""  2013 12.3  
 16 Jason Mraz  ""I'm Yours""  2008 12.2  
 17 Flo Rida featuring Kesha  ""Right Round""  2009 12  
 18  Flo Rida featuring T-Pain  ""Low""  2007 12","Yes, according to the information from the table, a total of four singles were released in 2015. These singles include Maroon 5's ""Sugar,"" Major Lazer & DJ Snake's ""Lean On,"" Ellie Goulding's ""Love Me Like You Do,"" and Adele's ""Hello."" The average sales record for these singles is approximately 13.5 million copies sold.","In table, have 4 single released in 2015 year. Their sales record average about 12.875 million copy.
 Corrected Statement:",0,1,0,0
