id,Missing information,Numerical extraction errors,Entity extraction errors,Redundant facts
scigen_dev_1,1,1,1,1
scigen_dev_2,1,1,0,1
scigen_dev_3,1,1,1,0
scigen_dev_4,1,0,0,1
scigen_dev_5,1,0,0,1
scigen_dev_6,1,1,1,1
scigen_dev_7,1,0,0,0
scigen_dev_8,1,0,0,1
scigen_dev_9,1,1,0,0
scigen_dev_10,1,0,0,1
scigen_dev_11,1,0,0,1
scigen_dev_12,1,0,0,1
scigen_dev_13,1,1,0,0
scigen_dev_14,1,1,0,0
scigen_dev_15,1,0,0,0
scigen_dev_16,1,0,0,0
scigen_dev_17,1,0,0,0
scigen_dev_18,1,0,0,0
scigen_dev_19,1,0,0,0
scigen_dev_20,0,0,0,0
scigen_dev_21,0,0,0,0
scigen_dev_22,0,0,0,0
scigen_dev_23,0,0,0,0
scigen_dev_24,0,0,0,0
scigen_dev_25,0,0,0,0
scigen_dev_26,0,0,0,0
scigen_dev_27,1,0,0,0
scigen_dev_28,1,0,0,0
scigen_dev_29,1,0,0,0
scigen_dev_30,1,0,0,0
scigen_dev_31,1,0,0,0
scigen_dev_32,1,0,0,0
scigen_dev_33,1,0,0,0
scigen_dev_34,1,1,0,0
scigen_dev_35,1,0,0,0
scigen_dev_36,1,0,0,0
scigen_dev_37,1,0,0,0
scigen_dev_38,1,0,0,0
scigen_dev_39,1,0,0,0
scigen_dev_40,1,0,0,0
scigen_dev_41,1,0,0,0
scigen_dev_42,1,0,0,0
scigen_dev_43,1,0,0,0
scigen_dev_44,1,0,0,0
scigen_dev_45,1,0,0,0
scigen_dev_46,1,0,0,0
scigen_dev_47,1,0,0,0
scigen_dev_48,1,0,0,0
scigen_dev_49,1,0,0,0
scigen_dev_50,1,0,0,0
